agency,agencyDetail,description,date,weekday,hour,zipcode,lat,lng,borough,tempMax,tempMin
DEP,Department of Environmental Protection,Catch Basin Clogged/Flooding (Use Comments) (SC),12312013,1,23,11414,40.65950600975226,-73.84964089549044,QUEENS,32.0,21.2
DEP,Department of Environmental Protection,Catch Basin Clogged/Flooding (Use Comments) (SC),12312013,1,23,11414,40.65964473609912,-73.84868184548789,QUEENS,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,11429,40.70512735398782,-73.74659083877144,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,23,11369,40.76119554091481,-73.87879847503207,QUEENS,32.0,21.2
DOHMH,Department of Health and Mental Hygiene,Smoking Violation,12312013,1,23,11218,40.6350861601052,-73.98014777912375,BROOKLYN,32.0,21.2
DEP,Department of Environmental Protection,Leak (Use Comments) (WA2),12312013,1,23,10312,40.53426689664762,-74.15397345766736,STATEN ISLAND,32.0,21.2
NYPD,New York City Police Department,Blocked Sidewalk,12312013,1,23,11206,40.702919766147176,-73.95024681284606,BROOKLYN,32.0,21.2
DOT,Department of Transportation,Veh Signal Lamp,12312013,1,23,11203,40.65479868796886,-73.93942382083901,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Posted Parking Sign Violation,12312013,1,23,11220,40.64466157579468,-74.00506646605783,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,10022,40.758159897134526,-73.96259370386208,MANHATTAN,32.0,21.2
DPR,Department of Parks and Recreation,Hitting Power/Phone Lines,12312013,1,23,11414,40.66056452495141,-73.84889962289814,QUEENS,32.0,21.2
DOHMH,Department of Health and Mental Hygiene,Food Preparation Location,12312013,1,23,11230,40.61835030296529,-73.96498816521421,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,23,10466,40.903625341442,-73.84121331411946,BRONX,32.0,21.2
NYPD,New York City Police Department,Partial Access,12312013,1,23,11235,40.58767905656655,-73.94812203270968,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,23,10468,40.871933374209924,-73.90107231827008,BRONX,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,11372,40.75578209017699,-73.88333099773321,QUEENS,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,11103,40.76528327381217,-73.91684754585236,QUEENS,32.0,21.2
NYPD,New York City Police Department,Car/Truck Horn,12312013,1,23,10031,40.82814057502251,-73.9447005639429,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,11103,40.7645500832014,-73.91637194797119,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,23,11368,40.75358439359866,-73.86881079561465,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,23,11365,40.738057926647464,-73.80850333417409,QUEENS,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,11103,40.765651313421756,-73.91718642716181,QUEENS,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,10002,40.72250863023186,-73.99204869519959,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Blocked Hydrant,12312013,1,23,10033,40.84821206532695,-73.93323679252005,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Blocked Hydrant,12312013,1,23,10033,40.8482175861012,-73.93329100431362,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Commercial Overnight Parking,12312013,1,23,11356,40.78141708195395,-73.84323796414719,QUEENS,32.0,21.2
