Gid,SE_T025_008
1400000US36047990100,0
1400000US53011041005,0.34
1400000US53011041007,0
1400000US22071005400,4.14
1400000US17031530200,0
1400000US06037402200,0.42
1400000US53011041008,0.8
1400000US53011041009,0.31
1400000US16027020300,0
1400000US26163501200,0.91
1400000US45019004606,5.07
1400000US45019004607,2.07
1400000US32005002200,0.65
1400000US72135510200,0.83
1400000US37009970700,0.78
1400000US48113001001,1.9
1400000US28035000800,5.72
1400000US45019004608,2.33
1400000US39145002800,0.39
1400000US18167010500,0
1400000US12086013800,0
1400000US08031000800,0
1400000US53011041003,1.35
1400000US26091061600,0.34
1400000US06071000904,0
1400000US06071000903,0.73
1400000US31033955000,0.76
1400000US06071000901,0
1400000US15003011400,0
1400000US42095010800,6.77
1400000US24009860401,0.06
1400000US24009860402,1.07
1400000US31119961000,0
1400000US24031702500,5.65
1400000US13261950100,1.94
1400000US42069110201,0.76
1400000US36047021400,0
1400000US36081103201,0.64
1400000US06085503118,0.24
1400000US36081103202,0.72
1400000US06085503116,2.61
1400000US06085503117,0.33
1400000US06085503115,1.65
1400000US06085503112,0.73
1400000US06085503113,0.27
1400000US06085503110,0
1400000US06085503111,0
1400000US06023010400,2.42
1400000US39027964900,0.7
1400000US09003460301,1.92
1400000US09003460302,1.97
1400000US40013796600,0.85
1400000US26099255500,0
1400000US55097960500,2.59
1400000US45027960500,0.23
1400000US41003000900,13.17
1400000US24043010600,0.4
1400000US36043010400,0.95
1400000US04013420710,0.37
1400000US17043846509,0.66
1400000US25025000701,4.41
1400000US25025000703,2.5
1400000US25025000704,6.36
1400000US49035113307,0
1400000US32007950200,0
1400000US36103123402,0
1400000US26147658100,0.11
1400000US49035113308,0
1400000US36103123401,0
1400000US17043846504,3.62
1400000US17043846507,1.28
1400000US48453002317,4.71
1400000US06085504421,1.11
1400000US55073001800,0.44
1400000US42101026600,0
1400000US15009990000,0
1400000US34031143200,1.17
1400000US48453002315,1.83
1400000US55103970300,0.84
1400000US27037060739,0.24
1400000US36059414502,0.47
1400000US36071011601,0.27
1400000US27003050820,0.89
1400000US27003050821,0.84
1400000US05031000601,2.65
1400000US05031000602,0
1400000US06037540700,0
1400000US06037119202,0.07
1400000US18089042802,0.84
1400000US18089042801,0.36
1400000US06037119201,0.23
1400000US12011090503,2.69
1400000US26161410800,1.39
1400000US37109071102,1.09
1400000US12057002800,2.17
1400000US37109071101,2.12
1400000US06081604000,1.92
1400000US36065025500,0.59
1400000US18089040401,2.23
1400000US18089040403,2.39
1400000US18089040402,4.74
1400000US48141000207,1.09
1400000US26099245300,1.49
1400000US48141000205,0.43
1400000US48141000204,0
1400000US22089062900,0.31
1400000US36037951000,0
1400000US26163585900,0
1400000US18089010900,0
1400000US48141000208,0
1400000US48239950100,0.4
1400000US28013950300,0.14
1400000US37079950101,0
1400000US19017004100,0.81
1400000US19113002600,0.7
1400000US06065048100,1.36
1400000US29133950300,0
1400000US26093730102,0
1400000US18015959600,1.67
1400000US26093730101,0.92
1400000US49043964202,0.37
1400000US49043964203,0
1400000US21015070308,2.03
1400000US21015070309,0.21
1400000US06081611200,3.25
1400000US21015070307,0.4
1400000US21015070305,1.69
1400000US08005007104,2.79
1400000US17137951500,0
1400000US21015070301,0.76
1400000US45041000300,0.13
1400000US48061011100,0
1400000US04013082016,0.67
1400000US04013082017,0.16
1400000US04013082010,0
1400000US24005440300,1.39
1400000US04013082012,0
1400000US01097007000,0.7
1400000US04013082018,0.37
1400000US04013082019,0.16
1400000US40101000600,0.26
1400000US08069001607,3.81
1400000US06001405901,0.64
1400000US06001405902,0.05
1400000US12105011910,0
1400000US08069001603,2.66
1400000US06037240402,0
1400000US06037240401,0.18
1400000US13301970400,0.25
1400000US37025041701,0.94
1400000US37025041702,0.57
1400000US33011002800,1.48
1400000US34031124500,0.38
1400000US42011000600,0.47
1400000US08069001608,5.09
1400000US28049002400,0.31
1400000US22063040202,0
1400000US22063040201,0.16
1400000US27061480400,0.54
1400000US12095014200,0.49
1400000US47155081101,1.39
1400000US47155081102,1.04
1400000US17043844902,2.31
1400000US18019050603,0
1400000US18019050605,0
1400000US18019050604,1.25
1400000US18019050606,2.61
1400000US04025000402,1.92
1400000US21025920200,0
1400000US04025000401,5.51
1400000US19113000600,0
1400000US18135951900,1.33
1400000US17033880300,0.61
1400000US36081133900,2.87
1400000US18173030100,0.64
1400000US25017352500,11.73
1400000US04013815300,2.39
1400000US48201252000,0.72
1400000US12095016511,0.55
1400000US12095016510,0.61
1400000US26049002400,0
1400000US34025808600,1.56
1400000US35049980000,0
1400000US08031000502,0.57
1400000US47047060300,0.52
1400000US51059432300,2.67
1400000US08077001501,0.89
1400000US37067002702,1.64
1400000US06037206300,0
1400000US08077001502,1.85
1400000US40037020602,0
1400000US37183053108,1.92
1400000US05093010200,0
1400000US36029008500,1.16
1400000US48201221300,0
1400000US22057021000,0
1400000US06053014105,2.93
1400000US06053014104,0
1400000US18097351700,0.88
1400000US06053014102,1.19
1400000US37183053106,0.22
1400000US37183053107,1.48
1400000US25005653204,2.56
1400000US34007611000,0.55
1400000US12103025018,0.42
1400000US04013217800,0.56
1400000US40031001600,0
1400000US40145030405,0.36
1400000US40145030402,1.39
1400000US40145030403,0
1400000US36047054800,2.5
1400000US37071032301,0.59
1400000US05087960200,0.59
1400000US37071032302,0.38
1400000US18003002900,0
1400000US26025003200,0.2
1400000US19083480200,0.54
1400000US29189221301,0.16
1400000US13089021416,2.62
1400000US06013990000,0
1400000US06007002000,0
1400000US13089021415,3.41
1400000US13089021412,1.49
1400000US10005051305,0.77
1400000US10005051306,0.73
1400000US13089021411,2.12
1400000US06001441800,6.55
1400000US27009021101,0.78
1400000US72145990000,0
1400000US27141030200,0.84
1400000US06065041410,0
1400000US06065041411,0
1400000US06065041412,1.18
1400000US05081030200,0
1400000US36061026500,3.31
1400000US17075950800,1.21
1400000US06065042214,3.39
1400000US02090001700,0.56
1400000US06065042213,13.52
1400000US06059063301,0.77
1400000US37051003305,0.36
1400000US06059063302,0.99
1400000US36059412100,0.25
1400000US24031700819,3.61
1400000US24031700818,0.42
1400000US22051024700,0.54
1400000US24031700815,5.07
1400000US12057002000,0
1400000US24031700817,7.43
1400000US24031700816,4.89
1400000US24031700811,2.14
1400000US24031700810,6.77
1400000US24031700813,6.07
1400000US24031700812,1.3
1400000US49005000900,2.92
1400000US28051950300,0.14
1400000US27173970100,0.22
1400000US45083022005,1.35
1400000US45083022004,1.15
1400000US42129802500,0
1400000US45083022006,0.57
1400000US31037964600,0.12
1400000US23011018000,1.51
1400000US36005021301,2.21
1400000US17163503903,0.8
1400000US06037228600,0
1400000US17163503906,2.18
1400000US28117950100,0
1400000US17163503904,0.43
1400000US17163503905,0.46
1400000US34007609204,0.21
1400000US34007609205,0.26
1400000US34007609202,0
1400000US34007609203,1.02
1400000US06001420200,14.87
1400000US34007609201,0
1400000US48029191503,5.33
1400000US48029191506,4.11
1400000US26049013401,0.47
1400000US26029000400,1.12
1400000US48029191505,4.3
1400000US09003494600,0.29
1400000US36069052100,2.28
1400000US13123080200,1.48
1400000US37067004015,1.42
1400000US37067004014,1.33
1400000US34013021400,0.59
1400000US37067004011,0.97
1400000US37067004010,2.76
1400000US37067004013,2.74
1400000US31131966800,0.38
1400000US06099003100,0
1400000US48273020400,1.01
1400000US09003496600,6.44
1400000US01097001400,0
1400000US09003473800,0.92
1400000US26065006302,0.7
1400000US06097153104,0.26
1400000US42003472400,2.31
1400000US06065040607,1.19
1400000US36005004600,1.18
1400000US51153901601,0.31
1400000US51153901602,1.37
1400000US17187870300,0.1
1400000US26163510700,0
1400000US04027001200,0
1400000US26135970300,0
1400000US04027000100,0.55
1400000US39001770200,0
1400000US06037191302,0
1400000US06037191301,1.72
1400000US42003522000,0
1400000US42051263000,0.8
1400000US48201511002,0.76
1400000US36047050000,0.54
1400000US12086011009,0.46
1400000US06037192300,3.65
1400000US36077590900,2.33
1400000US25023524101,0.67
1400000US48201250401,0
1400000US28019950100,0.33
1400000US36119005902,2.74
1400000US36059517000,3.2
1400000US22077951900,0.32
1400000US45089970900,0.25
1400000US12081000704,0.11
1400000US06095250502,0.92
1400000US06095250501,0
1400000US12086011005,0.39
1400000US12081000703,0.78
1400000US36047045000,6.64
1400000US39035108301,0
1400000US42069110202,0.6
1400000US22071000300,0
1400000US51103030300,2.91
1400000US47001020800,0.43
1400000US17031670100,0
1400000US17091012400,0.67
1400000US55025012001,1.83
1400000US36001013706,5.47
1400000US36001013707,4.46
1400000US39061021702,0
1400000US36001013705,0.44
1400000US36001013703,0.27
1400000US47167040200,0
1400000US53033031601,0.21
1400000US53053073114,0.25
1400000US53033031603,2.24
1400000US17031800200,5.74
1400000US53033031605,0.66
1400000US06037237202,0.41
1400000US06037237201,0
1400000US12057013100,0.74
1400000US53053073119,0.29
1400000US53053073118,0.59
1400000US08013060900,3.58
1400000US04013522903,0
1400000US08059012049,1.11
1400000US04013522901,0.66
1400000US42133020310,0.97
1400000US04013522904,0.15
1400000US50021964200,1.08
1400000US08059012041,0
1400000US08059012042,0.88
1400000US08059012043,1.06
1400000US08059012044,1.9
1400000US08059012045,1.67
1400000US08059012046,1.22
1400000US08059012047,0.97
1400000US13063040202,0.42
1400000US17031660800,0
1400000US17115001600,3.5
1400000US42077005301,1.44
1400000US12103028700,0
1400000US13063040204,0.49
1400000US42049000900,4.84
1400000US55101000903,0.57
1400000US55101000901,0.61
1400000US08105976800,0
1400000US55101000904,0.65
1400000US42045401200,1.02
1400000US35001003724,3.91
1400000US01101002900,0
1400000US35001003726,5.76
1400000US39093024000,1.08
1400000US08035013911,0.93
1400000US35001003722,5.07
1400000US35001003723,2.06
1400000US06083001101,1.33
1400000US08035013910,3.04
1400000US35001003728,2.85
1400000US06037543802,0.92
1400000US06037543801,0.67
1400000US27053026706,0.37
1400000US22087030800,0
1400000US32029970200,1.99
1400000US06041121100,2.75
1400000US13305970600,0.56
1400000US46011958803,3.98
1400000US46011958802,3.27
1400000US06037920016,0.42
1400000US06019005406,1.73
1400000US06019005407,1.12
1400000US51800075405,0.24
1400000US06019005405,1.21
1400000US51800075403,1.14
1400000US06019005403,0.81
1400000US51800075401,0.58
1400000US05143010501,2.75
1400000US06019005408,3.49
1400000US06019005409,0.42
1400000US29095015400,0
1400000US42003428100,1.24
1400000US17031840800,0
1400000US08101001000,0
1400000US42101012100,0.84
1400000US09001042800,0.94
1400000US41027950300,0.89
1400000US51730811000,1.9
1400000US20209041900,0.34
1400000US27137013100,1.56
1400000US53063011102,0.76
1400000US53063011101,0.3
1400000US17179021604,1.96
1400000US26027001900,0.73
1400000US21185030200,0.35
1400000US39031961400,0
1400000US55079004300,1.06
1400000US29071800100,2.11
1400000US13075960300,1.33
1400000US18081610202,0
1400000US15003981200,0
1400000US42115032400,1.46
1400000US36103158309,1.97
1400000US36103158308,0
1400000US26111290100,0.76
1400000US22051027812,0
1400000US22051027811,0
1400000US22051027810,0.31
1400000US37021002701,2.16
1400000US16085970100,0.7
1400000US37021002702,5.23
1400000US36103158306,0.36
1400000US24510010300,4.24
1400000US33011016201,0
1400000US33011016202,2.0
1400000US31179978700,2.63
1400000US55011960400,0.38
1400000US09003430201,0.83
1400000US09003430202,1.18
1400000US09003430203,1.72
1400000US17089854001,1.64
1400000US06013389200,7.51
1400000US08123000900,1.96
1400000US27145010200,0.91
1400000US42013100400,0.49
1400000US26163545300,0
1400000US53009001000,0.41
1400000US29185480100,0.47
1400000US06059052411,1.37
1400000US49049000205,1.96
1400000US13179010600,0
1400000US48439105507,7.86
1400000US06013302009,0.46
1400000US33009961400,2.75
1400000US25025081400,3.39
1400000US06075017000,8.83
1400000US49035104800,3.05
1400000US27101900200,0.35
1400000US24005491500,1.12
1400000US39095003400,0
1400000US06073013908,0
1400000US06073013909,1.46
1400000US06075047801,0.79
1400000US42125763700,0
1400000US40143007520,1.85
1400000US40143007523,0.48
1400000US40143007522,0.37
1400000US36081046500,0
1400000US06073013903,0.65
1400000US06073013905,1.77
1400000US06073013906,0.24
1400000US06073013907,0.54
1400000US06073017039,2.53
1400000US06037403305,1.15
1400000US06037403304,0.96
1400000US06037403303,0.85
1400000US09009142700,1.9
1400000US40109104300,0
1400000US23019007200,4.1
1400000US06073017030,6.48
1400000US06073017031,1.25
1400000US06073017032,6.38
1400000US06073017033,1.97
1400000US06073017034,2.21
1400000US06073017035,2.79
